file,section,style,intro_black,accent,n_cuts,hook
altA_emo.mp4,HH_Aitai,emo,no,cream,1,幸せを 探しても、  過去には 勝てなかった。
altB_song.mp4,HH_Aitai,song,no,gold,1,甘さだけを 探してた  頃の曲。
altC_viral.mp4,HH_Aitai,viral,no,amber,1,会いたい。  心も、 身体も。
b01_s1_emo.mp4,HH_1stChorus,emo,no,cream,1,全部どうでも よかった日に  できた曲。
b02_s1_viral.mp4,HH_1stChorus,viral,no,amber,1,甘さだけ 探してた頃。
b03_s1_blackintro.mp4,HH_1stChorus,song,yes,gold,1,夜だけが 優しかった  頃の曲。
b04_s2_emo.mp4,HH_Aitai,emo,no,cream,1,幸せを探しても  過去には 勝てなかった。
b05_s2_blackintro.mp4,HH_Aitai,viral,yes,amber,1,会いたいって  言えなかった。
b06_s2_song.mp4,HH_Aitai,song,no,gold,1,心も身体も  まだ、あの頃。
b07_s3_emo.mp4,HH_Misekake,emo,no,cream,1,見せかけの 優しさは  いらなかった。
b08_s3_viral.mp4,HH_Misekake,viral,no,amber,1,本当は いらなかった。
b09_s4_emo.mp4,HH_2ndChorus_hari,emo,no,cream,1,蜂蜜みたいに  甘くて、痛い。
b10_s4_viral.mp4,HH_2ndChorus_hari,viral,no,amber,1,肌に、 まだ残ってる。
b11_s5_viral.mp4,CO2_utauyo,viral,no,amber,1,嘘は歌に 変えて、  歌うよ。
b12_s5_emo.mp4,CO2_utauyo,emo,no,cream,1,全部なくなっても  残ったサビ。
b13_s5_song.mp4,CO2_utauyo,song,no,gold,1,この声、 聴いてほしい。
b14_s6_emo.mp4,LastSong_kasa,emo,no,cream,1,眠れない夜に  こぼした涙。
b15_s6_viral.mp4,LastSong_kasa,viral,no,amber,1,この歌詞、 やばい。
b16_s6_blackintro.mp4,LastSong_kasa,song,yes,gold,1,悲しくない ことを  悲しまないで。
b17_s7_emo.mp4,MC_bike/nostalgia,emo,no,cream,3,大人になると  純粋に 聴けなくなる。
b18_s7_viral.mp4,MC_bike/nostalgia,viral,no,amber,3,音楽、 好きでしたか？
b19_s2_viral.mp4,HH_Aitai,viral,no,amber,1,どうでもよかった、  君以外は。
b20_s1_blackintro.mp4,HH_1stChorus,song,yes,gold,1,逃げ場所が 欲しかった頃。
mcA_guitar.mp4,MC_guitar,emo,no,cream,5,3万の ギターで、  ひとり ステージへ。
mcB_blue.mp4,MC_blue,viral,no,amber,5,アラフォー、 まだ  バンド やってます。
mcC_bike.mp4,MC_bike/nostalgia,emo,no,cream,4,あの頃の 自分に、  戻りたくて。
new_blackintro.mp4,HH_Aitai,viral,yes,amber,1,愛だと 思ってた。  たぶん 違った。
new_overlay.mp4,HH_Aitai,viral,no,amber,1,愛だと 思ってた。  たぶん 違った。
